"No.","Date","Genre","Bibl","ContextBefore","Hit","ContextAfter"
"42","1999-12-31","Belletristik","Lebert, Benjamin: Crazy, Köln: Kiepenheuer & Witsch 1999 [1999], S. 146","Und als er dann wieder","zu","Hause war , ging gar nichts mehr ."
"43","1999-12-31","Belletristik","Lebert, Benjamin: Crazy, Köln: Kiepenheuer & Witsch 1999 [1999], S. 172","Er ist inzwischen von","zu","Hause ausgezogen ."
"44","1999-12-31","Belletristik","Moers, Walter: Die 13 1/2 Leben des Käpt'n Blaubär, Frankfurt a. M.: Eichborn 1999, S. 214","Ich roch das Gefühl ,","zu","Hause zu sein ."
"45","1999-12-31","Belletristik","Moers, Walter: Die 13 1/2 Leben des Käpt'n Blaubär, Frankfurt a. M.: Eichborn 1999, S. 520","Bei jedem Duell machte ich mir Notizen , ging die Kämpfe dann","zu","Hause durch , erarbeitete Lügenstrategien und lernte die Namen der bisherigen Lügenkönige auswendig ."
"46","1999-12-31","Belletristik","Moers, Walter: Die 13 1/2 Leben des Käpt'n Blaubär, Frankfurt a. M.: Eichborn 1999, S. 543","Mir gehörte eine Villa mit 52 Zimmern , drei künstlichen Schwimmtümpeln und einer eigenen Lügenduell-Bühne , auf der ich üben konnte , wenn ich","zu","Hause war ."
"47","1999-12-31","Belletristik","Moers, Walter: Die 13 1/2 Leben des Käpt'n Blaubär, Frankfurt a. M.: Eichborn 1999, S. 559","In der elften Runde wechselte er überraschend die Taktik , verließ sein sicheres Erzählgebiet Atlantis und betrat das meine , die Welt der Phantasie – wohl um zu demonstrieren , daß er dort genausogut","zu","Hause war wie ich ."
"48","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 44","Die Odyssee handelt von der langwierigen Heimfahrt des Odysseus und seiner Ankunft","zu","Hause in Ithaka ."
"49","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 44","Zwanzig Jahre ist er nicht","zu","Hause gewesen , da haben sich 112 Freier breitgemacht , die Odysseus ' Frau Penelope pausenlos belagern ."
"50","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 163","Die Leute blieben","zu","Hause und sagten nichts mehr ."
"51","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 186","Die Nachricht verursachte an der deutschen Front und","zu","Hause einen Schock , weil die Regierungspropaganda bis zuletzt verkündet hatte , man stehe kurz vor dem Endsieg ."
"52","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 201","Hitler hatte der Armee keine Winterausrüstung gegeben : die Soldaten sollten glauben , sie wären im Herbst wieder","zu","Hause ."
"53","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 228","Statt dessen läuft er von","zu","Hause weg , um im Seehandel schnell reich zu werden ."
"54","1999-12-31","Gebrauchsliteratur","Schwanitz, Dietrich: Bildung, Frankfurt a. M.: Eichborn 1999, S. 250","Hier erinnert sich der Erzähler an seine Kindheit","zu","Hause in Paris und bei seinen Verwandten in Combray einschließlich seiner idealisierenden Anbetung von Swanns Tochter Gilberte ."
